,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
167,airai,-8.9266,125.4092,287.12,94.0,60.0,1.54,TL,1624124245.0,13.970000000000027
168,hunza,,,,,,,,,
169,bethel,41.3712,-73.414,305.01,62.0,90.0,0.45,US,1624124425.0,31.860000000000014
170,camacha,33.0833,-16.3333,292.83,56.0,20.0,5.66,PT,1624124650.0,19.680000000000007
171,upernavik,72.7868,-56.1549,276.09,68.0,13.0,4.35,GL,1624124282.0,2.9399999999999977
172,namatanai,-3.6667,152.4333,298.32,84.0,28.0,2.5,PG,1624124236.0,25.170000000000016
173,norman wells,65.282,-126.8329,291.17,45.0,20.0,5.14,CA,1624124258.0,18.02000000000004
174,san patricio,28.017,-97.5169,307.08,47.0,31.0,3.71,US,1624124288.0,33.93000000000001
175,klaksvik,62.2266,-6.589,283.66,84.0,46.0,4.95,FO,1624124269.0,10.510000000000048
176,roebourne,-20.7833,117.1333,292.61,63.0,0.0,2.36,AU,1624124651.0,19.460000000000036
177,utiroa,,,,,,,,,
178,atuona,-9.8,-139.0333,299.9,72.0,19.0,8.99,PF,1624124227.0,26.75
179,faanui,-16.4833,-151.75,300.49,72.0,25.0,7.55,PF,1624124234.0,27.340000000000032
180,belawan,3.7755,98.6832,299.31,89.0,92.0,2.19,ID,1624124652.0,26.160000000000025
181,kijang,35.2442,129.2139,294.0,78.0,18.0,1.59,KR,1624124652.0,20.850000000000023
182,lebu,-37.6167,-73.65,284.71,63.0,87.0,2.12,CL,1624124317.0,11.560000000000002
183,lagos,6.5833,3.75,302.33,79.0,58.0,3.05,NG,1624124272.0,29.180000000000007
184,maumere,-8.6199,122.2111,298.27,80.0,86.0,1.42,ID,1624124653.0,25.120000000000005
185,talcahuano,-36.7167,-73.1167,286.97,67.0,40.0,2.57,CL,1624124653.0,13.82000000000005
186,verkhnevilyuysk,63.4453,120.3167,288.91,82.0,92.0,0.31,RU,1624124350.0,15.760000000000048
187,pyshchug,58.8873,45.7134,293.69,70.0,1.0,3.1,RU,1624124653.0,20.54000000000002
188,lorengau,-2.0226,147.2712,299.09,80.0,78.0,1.32,PG,1624124224.0,25.939999999999998
189,georgetown,5.4112,100.3354,299.11,92.0,40.0,0.89,MY,1624124342.0,25.960000000000036
190,fairbanks,64.8378,-147.7164,289.6,85.0,40.0,0.0,US,1624124105.0,16.450000000000045
191,neijiang,29.5835,105.0622,293.37,84.0,82.0,1.75,CN,1624124654.0,20.220000000000027
192,port hedland,-20.3167,118.5667,288.18,82.0,0.0,2.57,AU,1624124323.0,15.03000000000003
193,bras-panon,-20.9967,55.6782,293.3,66.0,6.0,5.37,RE,1624124654.0,20.150000000000034
194,westport,41.1415,-73.3579,306.34,67.0,69.0,0.45,US,1624124443.0,33.19
195,rongcheng,30.634,117.8517,293.39,97.0,100.0,0.8,CN,1624124654.0,20.24000000000001
196,dunedin,-45.8742,170.5036,280.82,85.0,62.0,0.45,NZ,1624124655.0,7.670000000000016
197,pipri,19.8,75.5333,298.5,70.0,100.0,6.99,IN,1624124655.0,25.350000000000023
198,husavik,66.0449,-17.3389,282.1,79.0,74.0,3.4,IS,1624124285.0,8.950000000000045
199,kendari,-3.945,122.4989,296.35,93.0,98.0,1.71,ID,1624124655.0,23.200000000000045
200,vao,-22.6667,167.4833,295.66,79.0,99.0,6.3,NC,1624124656.0,22.510000000000048
201,kodiak,57.79,-152.4072,281.88,93.0,90.0,5.14,US,1624123995.0,8.730000000000018
202,abu dhabi,24.4667,54.3667,306.21,79.0,0.0,3.6,AE,1624124432.0,33.06
203,boa vista,2.8197,-60.6733,303.14,62.0,75.0,5.14,BR,1624124514.0,29.99000000000001
204,bobonong,,,,,,,,,
205,ponta do sol,32.6667,-17.1,294.66,63.0,58.0,2.36,PT,1624124287.0,21.510000000000048
206,san policarpo,12.1791,125.5072,298.58,89.0,100.0,1.83,PH,1624124657.0,25.430000000000007
207,samusu,,,,,,,,,
208,bargal,,,,,,,,,
209,iranshahr,27.2025,60.6848,311.34,6.0,0.0,9.77,IR,1624124657.0,38.19
210,buala,-8.145,159.5921,299.5,80.0,100.0,2.28,SB,1624124657.0,26.350000000000023
211,coquimbo,-29.9533,-71.3436,290.0,63.0,0.0,4.63,CL,1624124103.0,16.850000000000023
212,cairns,-16.9167,145.7667,289.85,90.0,75.0,4.63,AU,1624124658.0,16.700000000000045
213,mehamn,71.0357,27.8492,279.85,84.0,100.0,4.33,NO,1624124229.0,6.7000000000000455
214,bayir,37.2687,28.2167,295.44,59.0,37.0,2.52,TR,1624124658.0,22.29000000000002
215,monte gordo,37.1819,-7.4523,294.34,53.0,93.0,5.83,PT,1624124658.0,21.189999999999998
216,mastic beach,40.7668,-72.8521,305.49,44.0,20.0,2.57,US,1624124659.0,32.34000000000003
217,gillette,44.2911,-105.5022,301.62,31.0,1.0,1.79,US,1624124659.0,28.470000000000027
218,maragogi,-9.0122,-35.2225,298.56,79.0,85.0,6.85,BR,1624124659.0,25.410000000000025
