,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
573,whitefish,48.4111,-114.3376,295.99,56.0,1.0,0.0,US,1624124319.0,22.840000000000032
574,avera,33.194,-82.5271,299.98,85.0,100.0,2.81,US,1624124738.0,26.83000000000004
575,capljina,43.1214,17.6844,305.23,65.0,14.0,1.0,BA,1624124739.0,32.08000000000004
576,high rock,26.6208,-78.2833,303.16,73.0,100.0,5.44,BS,1624124739.0,30.010000000000048
577,sovetskaya gavan,48.9723,140.2878,280.93,69.0,100.0,1.52,RU,1624124739.0,7.78000000000003
578,manokwari,-0.8667,134.0833,297.86,82.0,57.0,1.66,ID,1624124294.0,24.710000000000036
579,imbituba,-28.24,-48.6703,290.09,96.0,100.0,6.64,BR,1624124740.0,16.939999999999998
580,skegness,53.1436,0.3363,289.31,83.0,100.0,6.23,GB,1624124740.0,16.160000000000025
581,korla,41.7597,86.1469,297.4,27.0,2.0,1.83,CN,1624124275.0,24.25
582,lasem,-6.6922,111.4527,298.43,83.0,55.0,1.31,ID,1624124740.0,25.28000000000003
583,batagay,67.6333,134.6333,292.37,52.0,96.0,0.96,RU,1624124734.0,19.220000000000027
584,kostomuksha,64.571,30.5767,290.08,43.0,78.0,2.34,RU,1624124741.0,16.930000000000007
585,pangai,-19.8,-174.35,298.1,70.0,21.0,5.3,TO,1624124741.0,24.950000000000045
586,bathsheba,13.2167,-59.5167,303.49,66.0,20.0,9.26,BB,1624124233.0,30.340000000000032
587,zhezkazgan,47.8043,67.7144,288.23,29.0,9.0,2.76,KZ,1624124741.0,15.080000000000041
588,umm lajj,25.0213,37.2685,303.65,43.0,0.0,3.64,SA,1624124221.0,30.5
589,saint-joseph,-21.3667,55.6167,292.71,73.0,14.0,4.54,RE,1624124742.0,19.560000000000002
590,myshkin,57.7897,38.4545,294.64,81.0,11.0,3.12,RU,1624124742.0,21.49000000000001
591,burkhala,,,,,,,,,
592,kompaniyivka,48.2511,32.208,293.64,88.0,100.0,4.11,UA,1624124742.0,20.49000000000001
593,redlands,34.0556,-117.1825,316.73,43.0,1.0,0.0,US,1624124707.0,43.58000000000004
594,mogadishu,2.0371,45.3438,298.55,82.0,62.0,8.07,SO,1624124065.0,25.400000000000034
595,hirara,24.8,125.2833,302.26,81.0,100.0,0.51,JP,1624124321.0,29.110000000000014
596,dali,25.7,100.1833,290.6,92.0,19.0,2.71,CN,1624124743.0,17.450000000000045
597,shingu,33.7333,135.9833,294.21,93.0,98.0,2.3,JP,1624124743.0,21.060000000000002
598,ossora,59.2353,163.0719,278.76,97.0,100.0,3.49,RU,1624124744.0,5.610000000000014
599,malmesbury,-33.4608,18.7271,293.03,34.0,44.0,1.8,ZA,1624124744.0,19.879999999999995
600,igarka,67.4667,86.5833,279.53,94.0,88.0,2.44,RU,1624124744.0,6.3799999999999955
601,portland,45.5234,-122.6762,295.34,65.0,75.0,0.45,US,1624124514.0,22.189999999999998
602,batemans bay,-35.7167,150.1833,285.32,71.0,90.0,5.84,AU,1624124745.0,12.170000000000016
603,iquique,-20.2208,-70.1431,291.17,72.0,38.0,3.33,CL,1624124745.0,18.02000000000004
604,otofuke,42.9917,143.2003,282.89,98.0,100.0,1.82,JP,1624124745.0,9.740000000000009
605,ulaangom,49.9811,92.0667,291.4,50.0,64.0,1.78,MN,1624124746.0,18.25
606,eydhafushi,5.1033,73.0708,301.46,75.0,59.0,6.39,MV,1624124249.0,28.310000000000002
607,soligalich,59.0778,42.2864,293.41,72.0,3.0,2.64,RU,1624124746.0,20.260000000000048
608,iquitos,-3.7481,-73.2472,302.17,74.0,75.0,3.6,PE,1624124747.0,29.02000000000004
609,san andres,12.5847,-81.7006,304.16,74.0,75.0,6.17,CO,1624124747.0,31.010000000000048
610,homer,59.6425,-151.5483,285.42,89.0,90.0,1.54,US,1624124576.0,12.270000000000039
